time_step,road_segment_id,local_car_density,average_speed_kmph,brake_events,phantom_jam_flag
262,1,2,22.23,0,0
263,11,6,74.92,2,0
264,28,46,84.98,0,0
265,25,43,112.78,2,0
266,23,4,95.82,3,0
267,31,29,80.82,2,0
268,30,25,22.85,0,0
269,42,9,51.11,3,0
270,35,3,25.27,2,0
271,7,26,106.93,2,0
272,16,48,92.46,3,0
273,26,43,93.33,1,0
274,48,27,81.75,0,0
275,49,36,65.77,1,0
276,2,32,26.5,3,1
277,1,1,46.27,3,0
278,48,16,25.06,4,0
279,12,48,89.74,4,0
280,5,11,27.63,3,0
281,37,26,87.23,4,0
282,32,40,86.15,2,0
283,9,1,60.52,1,0
284,41,26,24.88,3,0
285,35,28,44.63,2,0
286,19,9,45.21,0,0
287,48,44,87.04,0,0
288,16,22,22.51,4,0
289,3,8,101.2,4,0
290,20,49,93.71,2,0
291,24,42,30.49,0,0
292,33,27,89.11,3,0
293,24,39,83.54,1,0
294,11,19,92.29,4,0
295,49,25,30.78,2,0
296,8,38,27.33,4,1
297,36,21,36.01,2,0
298,38,24,50.25,0,0
299,40,24,97.3,4,0
300,20,19,91.17,2,0
301,35,47,111.8,2,0
302,48,2,16.45,4,0
303,25,14,11.27,1,0
304,35,32,86.91,3,0
305,25,42,40.72,0,0
306,29,32,46.75,4,0
307,18,28,70.15,4,0
308,46,48,21.27,1,1
309,18,39,80.7,0,0
310,2,40,45.77,4,0
311,35,42,79.6,1,0
312,16,47,101.74,3,0
313,41,40,28.82,2,1
314,36,13,112.4,3,0
315,33,12,68.38,3,0
316,4,8,111.52,3,0
317,33,15,32.85,3,0
318,14,26,76.5,2,0
319,21,12,54.43,0,0
320,48,43,95.16,0,0
321,20,46,76.65,1,0
322,8,27,64.4,1,0
323,7,18,110.43,4,0
324,3,45,51.48,3,0
325,17,36,34.2,3,1
326,33,49,76.89,2,0
327,48,27,78.64,3,0
328,12,9,58.3,2,0
329,22,39,63.53,4,0
330,22,1,115.55,1,0
331,46,7,90.6,1,0
332,30,26,22.17,4,0
333,38,7,33.33,4,0
334,38,7,117.31,3,0
335,45,8,89.91,1,0
336,8,16,110.65,0,0
337,27,3,43.42,4,0
338,27,45,91.61,1,0
339,34,10,88.54,1,0
340,21,7,42.42,2,0
341,30,21,70.59,1,0
342,33,37,79.02,4,0
343,28,31,62.92,3,0
344,47,23,100.99,1,0
345,33,27,101.62,0,0
346,5,22,103.57,4,0
347,48,39,98.38,3,0
348,19,27,63.69,3,0
349,4,49,51.96,4,0
350,35,4,101.45,3,0
351,49,24,63.92,0,0
352,17,23,37.1,1,0
353,44,48,65.81,4,0
354,28,19,25.6,1,0
355,30,42,86.08,1,0
356,29,3,46.95,3,0
357,46,27,38.67,4,0
358,6,3,115.22,1,0
359,35,28,95.46,2,0
360,41,17,96.58,0,0
361,37,31,78.61,3,0
362,24,10,102.31,4,0
363,29,49,93.51,4,0
364,49,22,75.87,3,0
365,46,30,115.72,1,0
366,31,49,31.08,3,1
367,35,21,113.77,4,0
368,33,36,54.16,2,0
369,21,23,68.12,1,0
370,32,38,23.5,3,1
371,23,12,69.41,4,0
372,33,25,77.23,4,0
373,3,20,119.75,4,0
374,18,49,117.27,2,0
375,25,49,116.3,1,0
376,42,42,48.32,3,0
377,31,7,119.04,1,0
378,3,29,60.1,4,0
379,40,48,103.7,2,0
380,46,29,33.8,2,0
381,24,13,65.64,4,0
382,32,3,116.26,1,0
383,47,2,114.17,1,0
384,22,16,85.21,2,0
385,23,30,97.76,0,0
386,2,38,29.41,2,1
387,27,6,89.38,2,0
388,42,45,77.99,3,0
389,2,7,20.07,2,0
390,26,5,22.45,0,0
391,17,7,21.93,2,0
392,40,34,89.68,1,0
393,33,32,25.59,3,1
394,9,49,61.45,3,0
395,43,13,49.27,2,0
396,48,30,70.56,3,0
397,39,25,87.71,3,0
398,29,21,85.32,2,0
399,42,21,66.71,0,0
400,26,28,61.08,2,0
401,35,48,53.76,1,0
402,25,20,104.81,4,0
403,24,34,46.39,0,0
404,13,5,38.53,2,0
405,7,18,91.76,0,0
406,36,39,49.57,4,0
407,45,43,103.17,3,0
408,20,11,46.07,3,0
409,1,17,87.21,4,0
410,8,48,14.96,3,1
411,46,45,52.41,0,0
412,16,22,47.76,3,0
413,14,37,99.83,4,0
414,12,20,116.38,4,0
415,23,48,60.7,4,0
416,15,48,100.73,1,0
417,28,48,86.97,0,0
418,34,46,116.41,4,0
419,2,6,99.22,0,0
420,32,34,18.52,1,1
421,23,14,88.46,0,0
422,22,48,68.9,2,0
423,25,23,11.81,1,0
424,22,20,37.64,1,0
425,22,13,111.39,3,0
426,49,47,111.87,4,0
427,42,44,97.87,1,0
428,6,41,118.0,0,0
429,15,32,98.72,2,0
430,43,26,11.12,0,0
431,37,14,41.66,0,0
432,33,36,13.37,2,1
433,8,8,20.35,3,0
434,44,40,34.07,4,1
435,44,22,65.39,1,0
436,5,22,103.23,4,0
437,39,16,104.82,3,0
438,4,27,77.78,2,0
439,6,10,112.1,4,0
440,45,25,65.01,0,0
441,32,31,107.79,1,0
442,30,21,59.95,1,0
443,47,27,40.49,3,0
444,35,17,110.81,3,0
445,40,33,52.67,2,0
446,16,31,65.37,3,0
447,13,42,46.17,4,0
448,42,26,82.91,1,0
449,30,21,119.45,2,0
450,19,36,12.81,3,1
451,17,1,108.98,0,0
452,19,4,10.43,1,0
453,28,4,50.07,2,0
454,26,26,28.55,1,0
455,37,4,93.31,4,0
456,26,49,15.57,3,1
457,23,9,70.88,3,0
458,9,30,42.44,3,0
459,12,45,24.7,0,0
460,1,4,94.9,4,0
461,1,5,33.92,0,0
462,47,45,34.6,4,1
463,34,23,40.26,4,0
464,32,16,74.54,4,0
465,48,22,82.56,3,0
466,25,37,11.94,3,1
467,40,8,36.61,3,0
468,45,48,57.41,0,0
469,1,33,46.52,2,0
470,16,38,107.26,4,0
471,39,43,96.65,0,0
472,5,16,78.85,3,0
473,22,5,47.18,3,0
474,29,16,87.07,2,0
475,3,7,102.8,3,0
476,12,1,75.43,4,0
477,26,9,96.29,1,0
478,16,18,92.4,3,0
479,37,45,72.89,2,0
480,22,47,44.34,1,0
481,29,3,92.04,4,0
482,14,24,32.75,4,0
483,28,28,95.74,4,0
484,5,10,98.5,2,0
485,47,9,100.44,1,0
486,49,13,62.02,4,0
487,30,48,31.17,3,1
488,46,35,20.97,1,1
489,5,23,91.77,4,0
490,12,47,107.49,1,0
491,16,17,81.59,3,0
492,26,46,25.86,0,0
493,26,7,112.84,4,0
494,48,16,118.8,3,0
495,21,40,57.67,2,0
496,39,36,75.43,4,0
497,36,20,95.5,0,0
498,33,24,91.0,3,0
499,30,47,116.46,3,0
500,37,5,22.64,1,0
501,23,45,73.88,4,0
502,10,6,86.11,0,0
503,5,28,107.91,2,0
504,36,5,106.15,1,0
505,34,49,117.58,4,0
506,31,39,66.33,0,0
507,10,38,101.38,1,0
508,19,2,57.0,0,0
509,32,43,56.45,0,0
510,1,39,37.87,1,1
511,5,21,100.01,1,0
512,45,40,118.44,4,0
513,4,37,38.2,1,1
514,16,18,16.17,4,0
515,24,48,99.71,0,0
516,16,46,78.23,1,0
517,2,12,115.57,4,0
518,49,17,37.75,4,0
519,28,37,17.81,2,1
520,32,46,64.17,4,0
521,27,38,19.4,4,1
522,20,15,38.8,2,0
523,24,7,23.86,3,0
524,12,14,34.65,1,0
525,35,1,21.68,2,0
526,33,38,114.93,4,0
527,33,3,40.64,4,0
528,43,37,58.83,1,0
529,37,44,108.85,0,0
530,12,31,84.51,2,0
531,3,43,77.98,3,0
532,1,13,87.61,1,0
533,33,48,101.17,1,0
534,40,18,106.54,2,0
535,10,17,80.69,4,0
536,43,17,107.9,4,0
537,44,11,68.89,3,0
538,29,20,40.5,2,0
539,13,10,106.81,1,0
540,12,29,69.56,2,0
541,31,48,109.68,0,0
542,46,34,14.42,1,1
543,2,17,53.73,3,0
544,35,42,114.26,3,0
545,23,13,37.46,1,0
546,17,44,113.57,4,0
547,26,47,114.93,1,0
548,8,39,107.04,1,0
549,29,27,72.0,0,0
550,26,26,81.16,1,0
551,10,28,105.66,2,0
552,26,13,95.35,2,0
553,34,12,79.31,3,0
554,41,44,118.05,4,0
555,7,28,85.42,3,0
556,4,2,117.3,0,0
557,45,37,16.31,1,1
558,11,34,25.29,3,1
559,29,23,59.66,1,0
560,36,45,52.34,3,0
561,25,29,96.1,1,0
562,21,35,27.67,3,1
563,36,11,117.37,2,0
564,10,48,44.66,0,0
565,37,33,57.18,3,0
566,9,11,40.22,2,0
567,24,9,73.73,4,0
568,35,14,16.45,3,0
569,49,9,26.46,1,0
570,35,39,92.04,0,0
571,48,48,30.52,2,1
572,36,3,35.91,2,0
573,18,29,97.23,0,0
574,49,19,20.26,3,0
575,39,36,58.12,1,0
576,32,32,12.54,4,1
577,24,7,48.15,3,0
578,23,28,86.89,0,0
579,32,44,19.91,3,1
580,37,18,107.72,3,0
581,12,5,110.04,0,0
582,49,23,21.55,0,0
583,13,22,118.98,4,0
584,23,26,42.73,0,0
585,25,42,19.25,0,0
586,35,12,10.56,0,0
587,41,40,54.94,2,0
588,30,19,79.28,0,0
589,17,47,46.54,0,0
590,49,1,102.04,0,0
591,20,3,88.83,4,0
592,48,27,48.52,3,0
593,25,18,90.77,0,0
594,22,30,113.45,0,0
595,13,2,20.24,4,0
596,19,5,43.67,3,0
597,49,29,60.97,4,0
598,36,33,64.78,1,0
599,12,42,69.64,1,0
600,41,20,43.07,1,0
601,19,30,83.4,0,0
602,12,42,80.96,4,0
603,9,5,73.56,0,0
604,7,21,22.51,1,0
605,28,15,62.47,3,0
606,14,20,49.18,3,0
607,31,8,64.01,4,0
608,19,49,111.41,3,0
609,47,31,62.86,1,0
610,16,12,11.54,4,0
611,5,21,58.27,4,0
612,35,30,100.27,1,0
613,12,27,95.81,1,0
614,25,44,66.47,1,0
615,21,26,37.47,1,0
616,36,33,61.16,4,0
617,23,26,72.01,3,0
618,16,26,119.99,1,0
619,39,36,80.86,2,0
620,45,40,86.37,4,0
621,42,1,64.06,0,0
622,39,15,48.99,3,0
623,14,1,99.42,4,0
624,31,11,64.44,1,0
625,5,2,119.42,2,0
626,35,1,60.28,0,0
627,23,31,17.48,3,1
628,29,44,85.08,1,0
629,43,16,15.13,4,0
630,11,22,37.56,4,0
631,18,42,48.91,3,0
632,47,18,91.34,2,0
633,12,47,64.37,1,0
634,9,17,13.15,3,0
635,10,30,77.85,3,0
636,44,10,55.26,4,0
637,17,35,111.4,3,0
638,38,21,64.95,0,0
639,7,16,87.99,0,0
640,46,6,34.08,1,0
641,13,3,93.71,3,0
642,40,41,89.31,4,0
643,42,43,109.45,1,0
644,9,21,13.72,2,0
645,27,13,59.23,4,0
646,2,18,84.71,2,0
647,5,24,20.47,1,0
648,29,27,55.17,0,0
649,37,4,113.64,4,0
650,38,22,57.95,4,0
651,19,24,118.39,1,0
652,8,40,16.25,4,1
653,48,45,88.96,4,0
654,45,10,73.91,1,0
655,1,2,65.06,3,0
656,22,40,116.79,1,0
657,17,6,24.26,4,0
658,7,48,108.56,1,0
659,25,18,86.04,4,0
660,45,17,38.49,2,0
661,4,38,109.18,2,0
662,36,45,57.22,0,0
663,6,23,99.57,1,0
664,31,46,52.77,1,0
665,19,30,103.6,2,0
666,44,21,80.03,2,0
667,39,10,25.52,2,0
668,27,43,81.46,0,0
669,10,13,31.05,0,0
670,26,12,55.31,3,0
671,19,9,28.73,1,0
672,39,4,12.42,0,0
673,3,39,33.31,4,1
674,45,24,69.0,1,0
675,13,34,62.97,3,0
676,28,39,65.16,2,0
677,20,41,37.25,3,1
678,28,5,85.37,1,0
679,8,15,87.47,2,0
680,41,4,49.38,3,0
681,39,39,106.93,3,0
682,1,8,80.84,1,0
683,3,49,88.43,0,0
684,13,45,40.51,4,0
685,28,24,10.07,3,0
686,49,28,105.19,4,0
687,25,43,100.47,1,0
688,33,27,23.55,1,0
689,38,1,51.15,0,0
690,6,34,82.75,2,0
691,44,17,81.73,4,0
692,45,37,104.64,3,0
693,32,38,25.43,2,1
694,45,26,57.29,4,0
695,47,24,20.69,4,0
696,21,39,52.86,2,0
697,16,21,11.66,2,0
698,21,30,108.81,0,0
699,11,47,67.97,3,0
700,37,48,103.48,3,0
701,36,13,16.59,3,0
702,35,37,35.02,2,1
703,19,3,38.53,0,0
704,20,32,52.54,1,0
705,18,35,98.32,0,0
706,47,19,52.52,2,0
707,41,14,32.51,0,0
708,49,48,17.15,2,1
709,14,22,18.74,4,0
710,15,17,93.61,4,0
711,31,4,58.93,1,0
712,1,45,89.88,4,0
713,3,40,85.05,1,0
714,16,19,24.89,3,0
715,23,37,25.72,2,1
716,11,2,93.09,3,0
717,12,15,89.34,3,0
718,10,2,51.58,1,0
719,32,11,18.52,2,0
720,16,45,11.33,1,1
721,8,23,41.7,0,0
722,38,10,11.01,3,0
723,12,3,35.31,2,0
724,24,5,56.15,3,0
725,28,3,23.36,0,0
726,8,38,21.47,0,0
727,28,13,108.61,2,0
728,36,42,74.4,2,0
729,26,19,112.79,0,0
730,8,40,48.04,3,0
731,28,35,84.49,4,0
732,28,24,32.52,3,0
733,37,24,78.02,4,0
734,41,17,24.25,1,0
735,36,40,10.23,2,1
736,27,10,112.47,0,0
737,17,2,71.04,1,0
738,9,44,111.96,3,0
739,33,23,46.72,4,0
740,20,6,46.06,2,0
741,13,2,54.07,4,0
742,28,21,87.66,3,0
743,48,35,72.24,3,0
744,29,49,111.79,0,0
745,13,29,12.8,1,0
746,46,7,87.9,2,0
747,35,29,46.34,0,0
748,6,37,29.83,4,1
749,18,23,66.14,1,0
750,5,33,65.56,2,0
751,47,8,25.07,4,0
752,25,12,32.21,2,0
753,2,46,54.9,2,0
754,10,48,54.97,1,0
755,30,10,44.93,4,0
756,45,15,26.34,0,0
757,5,24,10.48,0,0
758,33,26,116.73,0,0
759,1,47,113.78,2,0
760,18,42,63.2,3,0
761,32,39,119.46,1,0
762,47,3,84.1,0,0
763,49,2,17.57,1,0
764,11,6,22.95,2,0
765,21,21,110.77,1,0
766,26,9,79.31,0,0
767,25,10,102.75,0,0
768,22,36,108.81,2,0
769,27,3,59.27,2,0
770,49,41,15.34,4,1
771,13,24,30.71,2,0
772,33,22,17.32,3,0
773,34,49,30.76,3,1
774,41,14,55.16,0,0
775,35,42,23.0,2,1
776,1,45,28.34,3,1
777,21,44,59.04,3,0
778,48,27,47.42,4,0
779,6,33,61.44,2,0
780,28,22,57.21,4,0
781,17,29,80.89,1,0
782,5,19,113.09,4,0
783,31,19,21.87,1,0
784,5,6,20.92,1,0
785,38,45,103.81,2,0
786,3,19,65.7,1,0
787,23,13,94.3,1,0
788,37,26,33.7,4,0
789,37,22,101.17,2,0
790,10,21,111.62,2,0
791,10,36,79.9,1,0
792,19,2,21.65,4,0
793,17,47,108.48,4,0
794,21,44,97.17,4,0
795,14,30,92.6,4,0
796,9,27,14.04,0,0
797,46,7,97.89,1,0
798,1,20,25.17,1,0
799,45,31,34.46,1,1
800,13,23,73.48,2,0
801,4,13,39.15,2,0
802,1,17,82.75,4,0
803,49,4,76.89,2,0
804,40,14,21.9,3,0
805,32,20,82.16,1,0
806,34,13,111.64,1,0
807,28,3,27.72,0,0
808,31,26,75.68,0,0
809,8,26,47.61,3,0
810,39,18,60.56,0,0
811,26,32,41.57,4,0
812,34,14,48.95,4,0
813,3,47,13.18,1,1
814,12,3,117.97,4,0
815,1,1,78.73,0,0
816,44,26,65.08,3,0
817,5,24,52.21,4,0
818,30,49,69.33,1,0
819,30,35,51.81,1,0
820,17,14,49.59,0,0
821,48,3,61.03,4,0
822,47,13,40.36,0,0
823,23,47,29.81,1,1
824,15,14,71.23,3,0
825,37,21,102.7,4,0
826,21,26,26.81,3,0
827,14,3,13.6,4,0
828,2,40,37.15,1,1
829,11,4,117.77,4,0
830,39,36,101.16,1,0
831,38,43,75.55,2,0
832,34,1,112.22,1,0
833,38,40,58.98,1,0
834,34,47,118.16,4,0
835,18,33,42.59,3,0
836,30,7,36.43,1,0
837,15,11,80.19,4,0
838,27,27,51.6,1,0
839,34,14,78.9,0,0
840,38,22,43.55,0,0
841,33,16,77.97,0,0
842,24,46,40.33,0,0
843,15,12,15.61,3,0
844,30,49,110.33,1,0
845,42,46,107.15,0,0
846,17,10,116.79,4,0
847,5,24,88.82,0,0
848,29,46,85.1,2,0
849,4,18,71.49,2,0
850,10,22,23.85,3,0
851,17,9,30.82,2,0
852,10,17,41.84,4,0
853,17,38,107.92,0,0
854,20,40,29.03,2,1
855,24,13,111.52,2,0
856,5,37,67.51,3,0
857,34,6,88.71,2,0
858,6,21,22.13,0,0
859,2,36,39.59,1,1
860,13,7,115.44,0,0
861,43,36,39.28,2,1
862,43,25,42.62,2,0
863,48,11,31.74,2,0
864,11,44,24.2,3,1
865,47,14,35.66,4,0
866,23,45,80.66,0,0
867,16,29,60.09,2,0
868,31,10,70.91,1,0
869,11,48,23.46,3,1
870,16,5,98.23,4,0
871,8,8,96.25,2,0
872,4,46,12.37,0,0
873,40,5,52.19,1,0
874,4,24,17.56,3,0
875,25,40,97.13,0,0
876,3,26,91.1,0,0
877,32,6,109.22,3,0
878,3,16,36.0,0,0
879,27,36,60.19,1,0
880,29,12,30.29,1,0
881,32,11,50.84,0,0
882,19,3,67.45,2,0
883,21,44,15.87,0,0
884,5,37,88.64,2,0
885,18,6,69.76,0,0
886,28,19,101.19,4,0
887,42,18,39.9,1,0
888,22,16,109.37,0,0
889,21,23,119.86,1,0
890,6,43,111.12,3,0
891,1,37,95.57,4,0
892,5,9,99.36,2,0
893,41,3,73.11,3,0
894,12,8,30.92,4,0
895,26,38,84.47,3,0
896,46,4,88.4,1,0
897,34,12,118.39,4,0
898,49,44,69.54,3,0
899,14,31,39.85,2,1
900,26,25,85.2,4,0
901,45,16,117.73,4,0
902,27,42,29.49,3,1
903,9,14,45.86,0,0
904,26,13,69.61,2,0
905,47,41,28.72,2,1
906,22,7,12.44,3,0
907,47,12,47.07,1,0
908,30,37,105.19,1,0
909,43,4,14.78,0,0
910,48,2,57.18,0,0
911,17,35,93.84,3,0
912,26,44,114.85,1,0
913,36,3,118.4,2,0
914,1,4,56.42,1,0
915,8,38,114.54,3,0
916,49,12,13.9,1,0
917,35,19,92.05,4,0
918,15,10,80.7,3,0
919,47,1,37.45,4,0
920,22,17,65.81,3,0
921,14,16,24.25,2,0
922,26,9,105.88,3,0
923,28,9,49.37,3,0
924,23,9,78.86,3,0
925,14,12,27.47,3,0
926,24,41,32.68,0,0
927,2,15,119.12,4,0
928,45,2,92.84,3,0
929,26,11,115.82,3,0
930,14,11,42.54,0,0
931,7,8,28.1,1,0
932,3,32,65.34,0,0
933,47,6,64.41,0,0
934,23,20,29.24,0,0
935,46,39,90.65,3,0
936,43,35,49.8,0,0
937,47,8,30.5,0,0
938,45,49,46.52,0,0
939,18,43,72.0,3,0
940,38,34,89.91,2,0
941,35,19,63.01,2,0
942,15,7,67.82,1,0
943,25,31,25.28,3,1
944,37,18,110.62,0,0
945,28,40,112.16,0,0
946,10,14,85.18,0,0
947,39,39,11.94,2,1
948,17,36,69.08,0,0
949,39,17,79.21,0,0
950,22,37,119.41,2,0
951,26,44,119.57,0,0
952,44,9,104.34,1,0
953,25,20,17.02,4,0
954,17,45,114.86,1,0
955,13,28,77.39,3,0
956,20,20,98.1,1,0
957,25,41,54.79,1,0
958,4,36,45.16,2,0
959,10,27,60.96,3,0
960,3,8,26.16,1,0
961,41,32,49.28,4,0
962,45,1,104.34,1,0
963,18,17,14.17,0,0
964,47,9,26.6,2,0
965,36,20,23.76,0,0
966,47,45,54.34,3,0
967,22,32,119.67,3,0
968,34,2,29.07,2,0
969,47,32,26.0,1,1
970,8,45,110.66,3,0
971,40,9,107.03,4,0
972,49,30,13.55,2,0
973,44,20,92.69,0,0
974,19,38,82.1,4,0
975,42,1,94.45,2,0
976,41,5,64.4,4,0
977,37,35,119.05,2,0
978,6,36,14.82,0,0
979,26,1,35.78,1,0
980,34,14,53.62,2,0
981,45,9,59.48,3,0
982,6,30,111.35,0,0
983,37,24,71.6,0,0
984,33,4,14.96,4,0
985,22,14,54.86,3,0
986,21,25,55.81,4,0
987,6,4,116.2,0,0
988,6,25,75.91,2,0
989,48,10,79.92,3,0
990,4,35,88.46,0,0
991,30,7,94.7,3,0
992,11,42,79.86,2,0
993,30,13,36.09,1,0
